iter	Passed	Remaining
0	53	53046
1	110	55175
2	166	55404
3	227	56662
4	291	57991
5	349	57854
6	412	58479
7	470	58358
8	526	57927
9	575	56937
10	629	56599
11	705	58073
12	777	59043
13	845	59562
14	918	60288
15	993	61076
16	1075	62201
17	1145	62504
18	1223	63158
19	1298	63644
20	1375	64104
21	1449	64450
22	1537	65328
23	1621	65947
24	1713	66833
25	1785	66904
26	1860	67055
27	1931	67054
28	2009	67270
29	2084	67401
30	2159	67517
31	2231	67505
32	2296	67301
33	2370	67360
34	2450	67554
35	2521	67509
36	2594	67515
37	2676	67760
38	2744	67625
39	2814	67550
40	2884	67468
41	2955	67421
42	3027	67385
43	3097	67299
44	3166	67202
45	3234	67076
46	3304	67012
47	3376	66959
48	3459	67140
49	3547	67396
50	3609	67171
51	3681	67123
52	3749	67002
53	3821	66946
54	3894	66920
55	3966	66868
56	4049	66997
57	4127	67034
58	4206	67088
59	4286	67160
60	4359	67102
61	4431	67048
62	4504	66990
63	4574	66902
64	4663	67087
65	4730	66944
66	4802	66871
67	4867	66719
68	4941	66681
69	5014	66618
70	5089	66589
71	5164	66562
72	5247	66642
73	5322	66602
74	5397	66568
75	5475	66570
76	5543	66448
77	5614	66368
78	5689	66333
79	5757	66208
80	5831	66159
81	5878	65811
82	5945	65687
83	6019	65641
84	6095	65617
85	6168	65554
86	6235	65438
87	6312	65418
88	6390	65412
89	6464	65361
90	6541	65344
91	6643	65570
92	6712	65467
93	6788	65431
94	6836	65122
95	6906	65040
96	6960	64794
97	7013	64555
98	7068	64333
99	7124	64117
100	7182	63933
101	7238	63727
102	7293	63517
103	7349	63314
104	7412	63184
105	7469	63001
106	7530	62847
107	7584	62641
108	7645	62494
109	7697	62281
110	7753	62096
111	7807	61898
112	7861	61709
113	7916	61529
114	7968	61319
115	8023	61141
116	8082	60997
117	8138	60832
118	8198	60694
119	8252	60519
120	8305	60336
121	8355	60132
122	8410	59968
123	8464	59799
124	8516	59612
125	8567	59427
126	8623	59277
127	8656	58975
128	8714	58842
129	8771	58700
130	8822	58522
131	8879	58391
132	8935	58251
133	8998	58155
134	9057	58037
135	9109	57873
136	9170	57768
137	9231	57660
138	9289	57538
139	9344	57401
140	9402	57282
141	9460	57162
142	9511	57002
143	9564	56857
144	9620	56727
145	9676	56599
146	9729	56457
147	9788	56347
148	9845	56230
149	9907	56142
150	9962	56015
151	10034	55979
152	10097	55898
153	10159	55810
154	10236	55806
155	10301	55735
156	10364	55648
157	10436	55619
158	10523	55661
159	10599	55648
160	10679	55653
161	10728	55497
162	10785	55381
163	10836	55237
164	10892	55121
165	10956	55047
166	11012	54931
167	11072	54833
168	11152	54836
169	11215	54757
170	11270	54640
171	11328	54532
172	11364	54326
173	11411	54169
174	11467	54059
175	11522	53948
176	11582	53853
177	11637	53741
178	11697	53651
179	11758	53565
180	11795	53370
181	11834	53189
182	11884	53059
183	11944	52970
184	12000	52866
